t,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19
4.779,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.78,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.781,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.782,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.783,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.784,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.785,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7860000000000005,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.787,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.788,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.789,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.79,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.791,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.792,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.793,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7940000000000005,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.795,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.796,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.797,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.798,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.799,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.801,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8020000000000005,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.803,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.804,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.805,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.806,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.807,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.808,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.809,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8100000000000005,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.811,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.812,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.813,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.814,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.815,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.816,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.817,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8180000000000005,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.819,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.82,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.821,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.822,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.823,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.824,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.825,0.3513355136651399,0.09148429997978136,0.033000048726741664,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
